Name,Mass (kg),Radius (m),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (m/s),Rotation Period (hours),Length of Day (hours),Orbital Radius (m),Perihelion (m),Aphelion (m),Orbital Period (days),Orbital Velocity (m/s),Orbital Inclination (degrees),Orbital Eccentricity,Obliquity to Orbit (degrees),Number of Moons,Ring System?,Global Magnetic Field?,
Sun,1.989e30,6.96e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,
Mercury,3.30e23,2.44e6,5429,3.7,4.30E+03,1407.6,4222.6,5.79E+10,4.60E+10,6.98E+10,88,4.74E+04,7,0.206,0.034,0,No,Yes,
Venus,4.87e24,6.052e6,5243,8.9,1.04E+04,-5832.5,2802,1.08E+11,1.08E+11,1.09E+11,224.7,3.50E+04,3.4,0.007,177.4,0,No,No,
Earth,5.97e24,6.378e6,5514,9.8,1.12E+04,23.9,24,1.50E+11,1.47E+11,1.52E+11,365.2,2.98E+04,0,0.017,23.4,1,No,Yes,
Moon,7.30e22,1.74e6,3340,1.6,2.40E+03,655.7,708.7,3.84E+08,3.63E+08,4.06E+08,27.3,1.00E+03,5.1,0.055,6.7,0,No,No,
Mars,6.42e23,3.40e6,3934,3.7,5.00E+03,24.6,24.7,2.28E+11,2.07E+11,2.49E+11,687,2.41E+04,1.8,0.094,25.2,2,No,No,
Jupiter,1.90e27,71.492e6,1326,23.1,5.95E+04,9.9,9.9,7.79E+11,7.41E+11,8.16E+11,4331,1.31E+04,1.3,0.049,3.1,92,Yes,Yes,
Saturn,5.68e26,60.268e6,687,9,3.55E+04,10.7,10.7,1.43E+12,1.36E+12,1.51E+12,"10,747",9.70E+03,2.5,0.052,26.7,83,Yes,Yes,
Uranus,8.68e25,25.559e6,1270,8.7,2.13E+04,-17.2,17.2,2.87E+12,2.73E+12,3.00E+12,"30,589",6.80E+03,0.8,0.047,97.8,27,Yes,Yes,
Neptune,1.02e26,24.764e6,1638,11,2.35E+04,16.1,16.1,4.52E+12,4.47E+12,4.56E+12,"59,800",5.40E+03,1.8,0.01,28.3,14,Yes,Yes,
Pluto,1.30e22,1.19e6,1850,0.7,1.30E+03,-153.3,153.3,5.91E+12,4.44E+12,7.38E+12,"90,560",4.70E+03,17.2,0.244,122.5,5,No,Unknown,
